f array_size kin_E deflec np s_h_c r_c_c p_c_c ke_over_c conf_perc
148 20 10 0.250000 10000 57 13 33 46 6711.409396
149 20 10 0.250000 10000 58 13 33 46 6666.666667
150 20 10 0.250000 10000 59 13 33 46 6622.516556
151 20 10 0.250000 10000 59 13 33 47 6578.947368
152 20 10 0.250000 10000 60 13 33 47 6535.947712
153 20 10 0.250000 10000 61 13 33 47 6493.506494
154 20 10 0.250000 10000 61 13 33 48 6451.612903
155 20 10 0.250000 10000 61 13 34 48 6410.256410
156 20 10 0.250000 10000 61 13 35 48 6369.426752
157 20 10 0.250000 10000 61 13 35 49 6329.113924
158 20 10 0.250000 10000 61 14 35 49 6289.308176
159 20 10 0.250000 10000 62 14 35 49 6250.000000
160 20 10 0.250000 10000 62 14 36 49 6211.180124
161 20 10 0.250000 10000 62 15 36 49 6172.839506
162 20 10 0.250000 10000 63 15 36 49 6134.969325
163 20 10 0.250000 10000 63 16 36 49 6097.560976
164 20 10 0.250000 10000 63 16 36 50 6060.606061
165 20 10 0.250000 10000 64 16 36 50 6024.096386
166 20 10 0.250000 10000 65 16 36 50 5988.023952
167 20 10 0.250000 10000 65 16 37 50 5952.380952
168 20 10 0.250000 10000 66 16 37 50 5917.159763
169 20 10 0.250000 10000 67 16 37 50 5882.352941
170 20 10 0.250000 10000 67 16 37 51 5847.953216
171 20 10 0.250000 10000 67 16 37 52 5813.953488
172 20 10 0.250000 10000 67 16 37 53 5780.346821
173 20 10 0.250000 10000 68 16 37 53 5747.126437
174 20 10 0.250000 10000 68 16 37 54 5714.285714
175 20 10 0.250000 10000 68 16 37 55 5681.818182
176 20 10 0.250000 10000 69 16 37 55 5649.717514
177 20 10 0.250000 10000 69 17 37 55 5617.977528
178 20 10 0.250000 10000 69 17 38 55 5586.592179
179 20 10 0.250000 10000 69 17 38 56 5555.555556
180 20 10 0.250000 10000 69 18 38 56 5524.861878
181 20 10 0.250000 10000 69 18 38 57 5494.505495
182 20 10 0.250000 10000 70 18 38 57 5464.480874
183 20 10 0.250000 10000 70 18 39 57 5434.782609
184 20 10 0.250000 10000 71 18 39 57 5405.405405
185 20 10 0.250000 10000 71 18 39 58 5376.344086
186 20 10 0.250000 10000 71 19 39 58 5347.593583
187 20 10 0.250000 10000 71 20 39 58 5319.148936
188 20 10 0.250000 10000 71 21 39 58 5291.005291
189 20 10 0.250000 10000 71 21 39 59 5263.157895
190 20 10 0.250000 10000 71 21 39 60 5235.602094
191 20 10 0.250000 10000 72 21 39 60 5208.333333
192 20 10 0.250000 10000 73 21 39 60 5181.347150
193 20 10 0.250000 10000 73 21 39 61 5154.639175
194 20 10 0.250000 10000 73 22 39 61 5128.205128
195 20 10 0.250000 10000 73 22 39 62 5102.040816
196 20 10 0.250000 10000 74 22 39 62 5076.142132
197 20 10 0.250000 10000 75 22 39 62 5050.505051
198 20 10 0.250000 10000 76 22 39 62 5025.125628
199 20 10 0.250000 10000 76 22 40 62 5000.000000
200 20 10 0.250000 10000 76 22 40 63 4975.124378
201 20 10 0.250000 10000 76 22 40 64 4950.495050
202 20 10 0.250000 10000 77 22 40 64 4926.108374
203 20 10 0.250000 10000 78 22 40 64 4901.960784
204 20 10 0.250000 10000 79 22 40 64 4878.048780
205 20 10 0.250000 10000 80 22 40 64 4854.368932
206 20 10 0.250000 10000 80 22 40 65 4830.917874
207 20 10 0.250000 10000 80 22 41 65 4807.692308
208 20 10 0.250000 10000 80 23 41 65 4784.688995
209 20 10 0.250000 10000 81 23 41 65 4761.904762
210 20 10 0.250000 10000 82 23 41 65 4739.336493
211 20 10 0.250000 10000 82 23 41 66 4716.981132
212 20 10 0.250000 10000 83 23 41 66 4694.835681
213 20 10 0.250000 10000 83 23 42 66 4672.897196
214 20 10 0.250000 10000 83 23 43 66 4651.162791
215 20 10 0.250000 10000 83 23 44 66 4629.629630
216 20 10 0.250000 10000 84 23 44 66 4608.294931
217 20 10 0.250000 10000 85 23 44 66 4587.155963
218 20 10 0.250000 10000 85 23 45 66 4566.210046
219 20 10 0.250000 10000 85 23 46 66 4545.454545
220 20 10 0.250000 10000 85 23 46 67 4524.886878
221 20 10 0.250000 10000 86 23 46 67 4504.504505
222 20 10 0.250000 10000 86 23 46 68 4484.304933
223 20 10 0.250000 10000 86 24 46 68 4464.285714
224 20 10 0.250000 10000 87 24 46 68 4444.444444
225 20 10 0.250000 10000 87 24 46 69 4424.778761
226 20 10 0.250000 10000 88 24 46 69 4405.286344
227 20 10 0.250000 10000 88 24 46 70 4385.964912
228 20 10 0.250000 10000 89 24 46 70 4366.812227
229 20 10 0.250000 10000 89 24 46 71 4347.826087
230 20 10 0.250000 10000 90 24 46 71 4329.004329
231 20 10 0.250000 10000 90 25 46 71 4310.344828
232 20 10 0.250000 10000 90 25 46 72 4291.845494
233 20 10 0.250000 10000 91 25 46 72 4273.504274
234 20 10 0.250000 10000 91 26 46 72 4255.319149
235 20 10 0.250000 10000 92 26 46 72 4237.288136
236 20 10 0.250000 10000 92 26 47 72 4219.409283
237 20 10 0.250000 10000 93 26 47 72 4201.680672
238 20 10 0.250000 10000 94 26 47 72 4184.100418
239 20 10 0.250000 10000 94 26 48 72 4166.666667
240 20 10 0.250000 10000 95 26 48 72 4149.377593
241 20 10 0.250000 10000 96 26 48 72 4132.231405
242 20 10 0.250000 10000 97 26 48 72 4115.226337
243 20 10 0.250000 10000 97 27 48 72 4098.360656
244 20 10 0.250000 10000 97 27 49 72 4081.632653
245 20 10 0.250000 10000 98 27 49 72 4065.040650
246 20 10 0.250000 10000 98 28 49 72 4048.582996
247 20 10 0.250000 10000 99 28 49 72 4032.258065
248 20 10 0.250000 10000 99 28 50 72 4016.064257
249 20 10 0.250000 10000 99 28 51 72 4000.000000
250 20 10 0.250000 10000 100 28 51 72 3984.063745
251 20 10 0.250000 10000 101 28 51 72 3968.253968
252 20 10 0.250000 10000 101 28 52 72 3952.569170
253 20 10 0.250000 10000 101 28 53 72 3937.007874
254 20 10 0.250000 10000 101 28 53 73 3921.568627
255 20 10 0.250000 10000 102 28 53 73 3906.250000
256 20 10 0.250000 10000 103 28 53 73 3891.050584
257 20 10 0.250000 10000 103 28 53 74 3875.968992
258 20 10 0.250000 10000 103 28 53 75 3861.003861
259 20 10 0.250000 10000 103 29 53 75 3846.153846
260 20 10 0.250000 10000 103 29 54 75 3831.417625
261 20 10 0.250000 10000 103 30 54 75 3816.793893
262 20 10 0.250000 10000 104 30 54 75 3802.281369
263 20 10 0.250000 10000 104 30 55 75 3787.878788
264 20 10 0.250000 10000 104 31 55 75 3773.584906
265 20 10 0.250000 10000 105 31 55 75 3759.398496
266 20 10 0.250000 10000 106 31 55 75 3745.318352
267 20 10 0.250000 10000 107 31 55 75 3731.343284
268 20 10 0.250000 10000 108 31 55 75 3717.472119
269 20 10 0.250000 10000 108 31 55 76 3703.703704
270 20 10 0.250000 10000 108 31 55 77 3690.036900
271 20 10 0.250000 10000 108 31 56 77 3676.470588
272 20 10 0.250000 10000 108 31 56 78 3663.003663
273 20 10 0.250000 10000 109 31 56 78 3649.635036
274 20 10 0.250000 10000 109 31 56 79 3636.363636
275 20 10 0.250000 10000 109 31 56 80 3623.188406
276 20 10 0.250000 10000 110 31 56 80 3610.108303
277 20 10 0.250000 10000 110 31 56 81 3597.122302
278 20 10 0.250000 10000 110 31 57 81 3584.229391
279 20 10 0.250000 10000 110 31 58 81 3571.428571
280 20 10 0.250000 10000 110 31 58 82 3558.718861
281 20 10 0.250000 10000 111 31 58 82 3546.099291
282 20 10 0.250000 10000 111 31 59 82 3533.568905
283 20 10 0.250000 10000 112 31 59 82 3521.126761
284 20 10 0.250000 10000 112 31 60 82 3508.771930
285 20 10 0.250000 10000 113 31 60 82 3496.503497
286 20 10 0.250000 10000 114 31 60 82 3484.320557
287 20 10 0.250000 10000 114 32 60 82 3472.222222
288 20 10 0.250000 10000 115 32 60 82 3460.207612
289 20 10 0.250000 10000 115 32 60 83 3448.275862
290 20 10 0.250000 10000 116 32 60 83 3436.426117
291 20 10 0.250000 10000 116 32 61 83 3424.657534
292 20 10 0.250000 10000 117 32 61 83 3412.969283
293 20 10 0.250000 10000 117 32 62 83 3401.360544
294 20 10 0.250000 10000 118 32 62 83 3389.830508
295 20 10 0.250000 10000 119 32 62 83 3378.378378
296 20 10 0.250000 10000 120 32 62 83 3367.003367
297 20 10 0.250000 10000 120 33 62 83 3355.704698
298 20 10 0.250000 10000 120 34 62 83 3344.481605
299 20 10 0.250000 10000 120 34 63 83 3333.333333
300 20 10 0.250000 10000 120 34 64 83 3322.259136
301 20 10 0.250000 10000 120 34 64 84 3311.258278
302 20 10 0.250000 10000 120 34 64 85 3300.330033
303 20 10 0.250000 10000 120 34 65 85 3289.473684
304 20 10 0.250000 10000 120 35 65 85 3278.688525
305 20 10 0.250000 10000 121 35 65 85 3267.973856
306 20 10 0.250000 10000 122 35 65 85 3257.328990
307 20 10 0.250000 10000 122 35 66 85 3246.753247
308 20 10 0.250000 10000 122 36 66 85 3236.245955
309 20 10 0.250000 10000 123 36 66 85 3225.806452
310 20 10 0.250000 10000 123 36 66 86 3215.434084
311 20 10 0.250000 10000 123 36 66 87 3205.128205
312 20 10 0.250000 10000 123 36 67 87 3194.888179
313 20 10 0.250000 10000 123 37 67 87 3184.713376
314 20 10 0.250000 10000 124 37 67 87 3174.603175
315 20 10 0.250000 10000 124 37 68 87 3164.556962
316 20 10 0.250000 10000 124 37 68 88 3154.574132
317 20 10 0.250000 10000 125 37 68 88 3144.654088
318 20 10 0.250000 10000 125 38 68 88 3134.796238
319 20 10 0.250000 10000 126 38 68 88 3125.000000
320 20 10 0.250000 10000 126 38 69 88 3115.264798
321 20 10 0.250000 10000 126 38 70 88 3105.590062
322 20 10 0.250000 10000 127 38 70 88 3095.975232
323 20 10 0.250000 10000 128 38 70 88 3086.419753
324 20 10 0.250000 10000 128 38 71 88 3076.923077
325 20 10 0.250000 10000 128 38 72 88 3067.484663
326 20 10 0.250000 10000 129 38 72 88 3058.103976
327 20 10 0.250000 10000 130 38 72 88 3048.780488
328 20 10 0.250000 10000 130 38 73 88 3039.513678
329 20 10 0.250000 10000 130 39 73 88 3030.303030
330 20 10 0.250000 10000 130 39 74 88 3021.148036
331 20 10 0.250000 10000 130 39 74 89 3012.048193
332 20 10 0.250000 10000 130 39 74 90 3003.003003
333 20 10 0.250000 10000 130 39 74 91 2994.011976
334 20 10 0.250000 10000 130 39 75 91 2985.074627
335 20 10 0.250000 10000 131 39 75 91 2976.190476
336 20 10 0.250000 10000 131 39 75 92 2967.359050
337 20 10 0.250000 10000 131 39 75 93 2958.579882
338 20 10 0.250000 10000 131 39 76 93 2949.852507
339 20 10 0.250000 10000 131 40 76 93 2941.176471
340 20 10 0.250000 10000 131 40 76 94 2932.551320
341 20 10 0.250000 10000 132 40 76 94 2923.976608
342 20 10 0.250000 10000 133 40 76 94 2915.451895
343 20 10 0.250000 10000 134 40 76 94 2906.976744
344 20 10 0.250000 10000 134 40 77 94 2898.550725
345 20 10 0.250000 10000 134 40 78 94 2890.173410
346 20 10 0.250000 10000 134 40 78 95 2881.844380
347 20 10 0.250000 10000 135 40 78 95 2873.563218
348 20 10 0.250000 10000 135 41 78 95 2865.329513
349 20 10 0.250000 10000 135 41 78 96 2857.142857
350 20 10 0.250000 10000 136 41 78 96 2849.002849
351 20 10 0.250000 10000 137 41 78 96 2840.909091
352 20 10 0.250000 10000 137 41 79 96 2832.861190
353 20 10 0.250000 10000 137 41 80 96 2824.858757
354 20 10 0.250000 10000 137 41 81 96 2816.901408
355 20 10 0.250000 10000 137 41 82 96 2808.988764
356 20 10 0.250000 10000 138 41 82 96 2801.120448
357 20 10 0.250000 10000 138 42 82 96 2793.296089
358 20 10 0.250000 10000 139 42 82 96 2785.515320
359 20 10 0.250000 10000 139 42 82 97 2777.777778
360 20 10 0.250000 10000 139 42 83 97 2770.083102
361 20 10 0.250000 10000 139 42 84 97 2762.430939
362 20 10 0.250000 10000 139 43 84 97 2754.820937
363 20 10 0.250000 10000 139 43 85 97 2747.252747
364 20 10 0.250000 10000 139 43 85 98 2739.726027
365 20 10 0.250000 10000 139 43 85 99 2732.240437
366 20 10 0.250000 10000 139 44 85 99 2724.795640
367 20 10 0.250000 10000 139 44 85 100 2717.391304
368 20 10 0.250000 10000 139 44 85 101 2710.027100
369 20 10 0.250000 10000 139 44 85 102 2702.702703
370 20 10 0.250000 10000 139 44 85 103 2695.417790
371 20 10 0.250000 10000 140 44 85 103 2688.172043
372 20 10 0.250000 10000 140 44 85 104 2680.965147
373 20 10 0.250000 10000 140 44 85 105 2673.796791
374 20 10 0.250000 10000 141 44 85 105 2666.666667
375 20 10 0.250000 10000 142 44 85 105 2659.574468
376 20 10 0.250000 10000 143 44 85 105 2652.519894
377 20 10 0.250000 10000 143 45 85 105 2645.502646
378 20 10 0.250000 10000 143 46 85 105 2638.522427
379 20 10 0.250000 10000 143 46 86 105 2631.578947
380 20 10 0.250000 10000 143 46 87 105 2624.671916
381 20 10 0.250000 10000 143 46 88 105 2617.801047
382 20 10 0.250000 10000 144 46 88 105 2610.966057
383 20 10 0.250000 10000 144 47 88 105 2604.166667
384 20 10 0.250000 10000 145 47 88 105 2597.402597
385 20 10 0.250000 10000 145 47 88 106 2590.673575
386 20 10 0.250000 10000 145 47 88 107 2583.979328
387 20 10 0.250000 10000 146 47 88 107 2577.319588
388 20 10 0.250000 10000 146 48 88 107 2570.694087
389 20 10 0.250000 10000 146 49 88 107 2564.102564
390 20 10 0.250000 10000 146 49 88 108 2557.544757
391 20 10 0.250000 10000 146 50 88 108 2551.020408
392 20 10 0.250000 10000 146 50 88 109 2544.529262
393 20 10 0.250000 10000 147 50 88 109 2538.071066
394 20 10 0.250000 10000 147 51 88 109 2531.645570
395 20 10 0.250000 10000 147 51 88 110 2525.252525
396 20 10 0.250000 10000 147 51 88 111 2518.891688
397 20 10 0.250000 10000 148 51 88 111 2512.562814
398 20 10 0.250000 10000 148 51 89 111 2506.265664
399 20 10 0.250000 10000 149 51 89 111 2500.000000
400 20 10 0.250000 10000 149 51 90 111 2493.765586
401 20 10 0.250000 10000 150 51 90 111 2487.562189
402 20 10 0.250000 10000 150 52 90 111 2481.389578
403 20 10 0.250000 10000 150 52 91 111 2475.247525
404 20 10 0.250000 10000 151 52 91 111 2469.135802
405 20 10 0.250000 10000 151 52 91 112 2463.054187
406 20 10 0.250000 10000 151 52 92 112 2457.002457
407 20 10 0.250000 10000 151 52 93 112 2450.980392
408 20 10 0.250000 10000 151 52 93 113 2444.987775
409 20 10 0.250000 10000 151 53 93 113 2439.024390
410 20 10 0.250000 10000 151 53 93 114 2433.090024
411 20 10 0.250000 10000 151 53 94 114 2427.184466
412 20 10 0.250000 10000 151 54 94 114 2421.307506
413 20 10 0.250000 10000 151 55 94 114 2415.458937
414 20 10 0.250000 10000 152 55 94 114 2409.638554
415 20 10 0.250000 10000 152 55 95 114 2403.846154
416 20 10 0.250000 10000 152 55 95 115 2398.081535
417 20 10 0.250000 10000 153 55 95 115 2392.344498
418 20 10 0.250000 10000 154 55 95 115 2386.634845
419 20 10 0.250000 10000 154 56 95 115 2380.952381
420 20 10 0.250000 10000 154 56 95 116 2375.296912
421 20 10 0.250000 10000 155 56 95 116 2369.668246
422 20 10 0.250000 10000 155 56 96 116 2364.066194
423 20 10 0.250000 10000 155 56 96 117 2358.490566
424 20 10 0.250000 10000 156 56 96 117 2352.941176
425 20 10 0.250000 10000 157 56 96 117 2347.417840
426 20 10 0.250000 10000 157 56 97 117 2341.920375
427 20 10 0.250000 10000 157 56 98 117 2336.448598
428 20 10 0.250000 10000 158 56 98 117 2331.002331
429 20 10 0.250000 10000 158 56 98 118 2325.581395
430 20 10 0.250000 10000 159 56 98 118 2320.185615
431 20 10 0.250000 10000 160 56 98 118 2314.814815
432 20 10 0.250000 10000 160 57 98 118 2309.468822
433 20 10 0.250000 10000 161 57 98 118 2304.147465
434 20 10 0.250000 10000 161 57 99 118 2298.850575
435 20 10 0.250000 10000 162 57 99 118 2293.577982
436 20 10 0.250000 10000 163 57 99 118 2288.329519
437 20 10 0.250000 10000 164 57 99 118 2283.105023
438 20 10 0.250000 10000 164 57 99 119 2277.904328
439 20 10 0.250000 10000 164 57 99 120 2272.727273
440 20 10 0.250000 10000 165 57 99 120 2267.573696
441 20 10 0.250000 10000 165 57 100 120 2262.443439
442 20 10 0.250000 10000 166 57 100 120 2257.336343
443 20 10 0.250000 10000 167 57 100 120 2252.252252
444 20 10 0.250000 10000 167 57 100 121 2247.191011
445 20 10 0.250000 10000 168 57 100 121 2242.152466
446 20 10 0.250000 10000 169 57 100 121 2237.136465
447 20 10 0.250000 10000 169 57 100 122 2232.142857
448 20 10 0.250000 10000 169 57 100 123 2227.171492
449 20 10 0.250000 10000 169 57 101 123 2222.222222
450 20 10 0.250000 10000 169 57 101 124 2217.294900
451 20 10 0.250000 10000 169 57 101 125 2212.389381
452 20 10 0.250000 10000 169 57 101 126 2207.505519
453 20 10 0.250000 10000 169 57 101 127 2202.643172
454 20 10 0.250000 10000 170 57 101 127 2197.802198
455 20 10 0.250000 10000 171 57 101 127 2192.982456
456 20 10 0.250000 10000 171 57 102 127 2188.183807
457 20 10 0.250000 10000 171 57 102 128 2183.406114
458 20 10 0.250000 10000 171 57 102 129 2178.649237
459 20 10 0.250000 10000 171 57 102 130 2173.913043
460 20 10 0.250000 10000 172 57 102 130 2169.197397
461 20 10 0.250000 10000 172 57 102 131 2164.502165
462 20 10 0.250000 10000 172 57 102 132 2159.827214
463 20 10 0.250000 10000 173 57 102 132 2155.172414
464 20 10 0.250000 10000 173 57 103 132 2150.537634
465 20 10 0.250000 10000 173 57 103 133 2145.922747
466 20 10 0.250000 10000 173 57 103 134 2141.327623
467 20 10 0.250000 10000 174 57 103 134 2136.752137
468 20 10 0.250000 10000 174 57 103 135 2132.196162
469 20 10 0.250000 10000 174 57 103 136 2127.659574
470 20 10 0.250000 10000 174 58 103 136 2123.142251
471 20 10 0.250000 10000 174 58 103 137 2118.644068
472 20 10 0.250000 10000 174 58 104 137 2114.164905
473 20 10 0.250000 10000 175 58 104 137 2109.704641
474 20 10 0.250000 10000 176 58 104 137 2105.263158
475 20 10 0.250000 10000 176 58 105 137 2100.840336
476 20 10 0.250000 10000 176 58 106 137 2096.436059
477 20 10 0.250000 10000 176 58 106 138 2092.050209
478 20 10 0.250000 10000 176 59 106 138 2087.682672
479 20 10 0.250000 10000 177 59 106 138 2083.333333
480 20 10 0.250000 10000 177 59 107 138 2079.002079
481 20 10 0.250000 10000 178 59 107 138 2074.688797
482 20 10 0.250000 10000 179 59 107 138 2070.393375
483 20 10 0.250000 10000 179 60 107 138 2066.115702
484 20 10 0.250000 10000 179 60 107 139 2061.855670
485 20 10 0.250000 10000 179 60 108 139 2057.613169
486 20 10 0.250000 10000 180 60 108 139 2053.388090
487 20 10 0.250000 10000 181 60 108 139 2049.180328
488 20 10 0.250000 10000 181 60 109 139 2044.989775
489 20 10 0.250000 10000 182 60 109 139 2040.816327
490 20 10 0.250000 10000 183 60 109 140 2032.520325
491 20 10 0.250000 10000 184 60 109 140 2028.397566
492 20 10 0.250000 10000 184 60 109 141 2024.291498
493 20 10 0.250000 10000 184 60 109 142 2020.202020
494 20 10 0.250000 10000 184 60 109 143 2016.129032
495 20 10 0.250000 10000 184 60 109 144 2012.072435
496 20 10 0.250000 10000 184 61 109 144 2008.032129
497 20 10 0.250000 10000 184 61 109 145 2004.008016
